MM/DD/YYYY,ID,YEAR,MONTH,DAY,TMAX,TMAX_FLAGS,TAVG,TAVG_FLAGS,TMIN,TMIN_FLAGS,PRCP,PRCP_FLAGS,SNWD,SNWD_FLAGS
1957-02-13,ET000063450,1957,2,13,239.0,__S,181.0,H_S,,,,,,
1957-07-01,ET000063450,1957,7,1,239.0,__S,152.0,H_S,111.0,__S,89.0,__S,,
1957-07-02,ET000063450,1957,7,2,239.0,__S,156.0,H_S,100.0,__S,10.0,__S,,
1957-07-03,ET000063450,1957,7,3,211.0,__S,149.0,H_S,122.0,__S,79.0,__S,,
1957-07-04,ET000063450,1957,7,4,211.0,__S,146.0,H_S,111.0,__S,10.0,__S,,
1957-07-05,ET000063450,1957,7,5,228.0,__S,152.0,H_S,100.0,__S,0.0,__S,,
1957-07-06,ET000063450,1957,7,6,222.0,__S,140.0,H_S,89.0,__S,20.0,__S,,
1957-07-07,ET000063450,1957,7,7,222.0,__S,135.0,H_S,89.0,__S,0.0,__S,,
1957-07-08,ET000063450,1957,7,8,222.0,__S,153.0,H_S,89.0,__S,41.0,__S,,
1957-07-09,ET000063450,1957,7,9,211.0,__S,143.0,H_S,100.0,__S,10.0,__S,,
1957-07-10,ET000063450,1957,7,10,228.0,__S,148.0,H_S,111.0,__S,41.0,__S,,
1957-07-11,ET000063450,1957,7,11,228.0,__S,138.0,H_S,111.0,__S,109.0,__S,,
1957-07-12,ET000063450,1957,7,12,222.0,__S,143.0,H_S,89.0,__S,10.0,__S,,
1957-07-13,ET000063450,1957,7,13,200.0,__S,137.0,H_S,72.0,__S,5.0,__S,,
1957-07-14,ET000063450,1957,7,14,222.0,__S,153.0,H_S,89.0,__S,3.0,__S,,
1957-07-15,ET000063450,1957,7,15,222.0,__S,153.0,H_S,89.0,__S,10.0,__S,,
1957-07-16,ET000063450,1957,7,16,172.0,__S,143.0,H_S,122.0,__S,30.0,__S,,
1957-07-17,ET000063450,1957,7,17,189.0,__S,140.0,H_S,111.0,__S,0.0,__S,,
1957-07-18,ET000063450,1957,7,18,200.0,__S,150.0,H_S,100.0,__S,51.0,__S,,
1957-07-19,ET000063450,1957,7,19,189.0,__S,143.0,H_S,111.0,__S,89.0,__S,,
1957-07-20,ET000063450,1957,7,20,211.0,__S,150.0,H_S,122.0,__S,41.0,__S,,
1957-07-21,ET000063450,1957,7,21,228.0,__S,149.0,H_S,111.0,__S,99.0,__S,,
1957-07-22,ET000063450,1957,7,22,211.0,__S,150.0,H_S,100.0,__S,0.0,__S,,
1957-07-23,ET000063450,1957,7,23,178.0,__S,132.0,H_S,100.0,__S,140.0,__S,,
1957-07-24,ET000063450,1957,7,24,222.0,__S,144.0,H_S,89.0,__S,30.0,__S,,
1957-07-25,ET000063450,1957,7,25,228.0,__S,150.0,H_S,78.0,__S,10.0,__S,,
1957-07-26,ET000063450,1957,7,26,211.0,__S,144.0,H_S,100.0,__S,20.0,__S,,
1957-07-27,ET000063450,1957,7,27,228.0,__S,178.0,H_S,111.0,__S,109.0,__S,,
1957-07-29,ET000063450,1957,7,29,211.0,__S,135.0,H_S,111.0,__S,130.0,__S,,
1957-07-30,ET000063450,1957,7,30,200.0,__S,136.0,H_S,89.0,__S,51.0,__S,,
1957-07-31,ET000063450,1957,7,31,211.0,__S,147.0,H_S,100.0,__S,0.0,__S,,
1957-08-01,ET000063450,1957,8,1,200.0,__S,132.0,H_S,100.0,__S,0.0,__S,,
1957-08-02,ET000063450,1957,8,2,200.0,__S,143.0,H_S,111.0,__S,61.0,__S,,
1957-08-03,ET000063450,1957,8,3,200.0,__S,162.0,H_S,111.0,__S,0.0,__S,,
1957-08-04,ET000063450,1957,8,4,178.0,__S,135.0,H_S,111.0,__S,30.0,__S,,
1957-08-05,ET000063450,1957,8,5,228.0,__S,140.0,H_S,100.0,__S,0.0,__S,,
1957-08-06,ET000063450,1957,8,6,200.0,__S,139.0,H_S,111.0,__S,,,,
1957-08-07,ET000063450,1957,8,7,222.0,__S,147.0,H_S,89.0,__S,0.0,__S,,
1957-08-08,ET000063450,1957,8,8,178.0,__S,138.0,H_S,111.0,__S,119.0,__S,,
1957-08-09,ET000063450,1957,8,9,178.0,__S,140.0,H_S,111.0,__S,41.0,__S,,
1957-08-10,ET000063450,1957,8,10,172.0,__S,127.0,H_S,100.0,__S,0.0,__S,,
1957-08-11,ET000063450,1957,8,11,200.0,__S,146.0,H_S,100.0,__S,0.0,__S,,
1957-08-12,ET000063450,1957,8,12,211.0,__S,153.0,H_S,100.0,__S,71.0,__S,,
1957-08-14,ET000063450,1957,8,14,200.0,__S,138.0,H_S,111.0,__S,20.0,__S,,
1957-08-15,ET000063450,1957,8,15,228.0,__S,162.0,H_S,111.0,__S,20.0,__S,,
1957-08-16,ET000063450,1957,8,16,222.0,__S,163.0,H_S,111.0,__S,0.0,__S,,
1957-08-17,ET000063450,1957,8,17,211.0,__S,154.0,H_S,111.0,__S,140.0,__S,,
1957-08-18,ET000063450,1957,8,18,222.0,__S,157.0,H_S,100.0,__S,89.0,__S,,
1957-08-19,ET000063450,1957,8,19,211.0,__S,141.0,H_S,100.0,__S,30.0,__S,,
1957-08-20,ET000063450,1957,8,20,222.0,__S,148.0,H_S,100.0,__S,10.0,__S,,
1957-08-21,ET000063450,1957,8,21,211.0,__S,151.0,H_S,111.0,__S,20.0,__S,,
